epoch,lr,train_loss,val_loss,val_auroc,val_acc,val_qwk,seconds
0,0.00015,1.1466278833347363,1.4707813380194492,0.8053940907634116,0.412568306010929,0.6505437693579563,269.86154437065125
1,0.0003,0.835801016825896,0.9095793030952495,0.9031823790883585,0.6338797814207651,0.7816842105263158,256.9636242389679
2,0.0003,0.6439478554568447,0.8823659775035629,0.9064857029398352,0.6775956284153005,0.8055692824668907,249.91301822662354
3,0.0002990568314839864,0.5419257204611223,0.7423083767539165,0.9182878652702208,0.7076502732240437,0.8286045649652666,249.39582300186157
4,0.0002962391868272735,0.4971314408294447,0.808176228746039,0.8930422795737373,0.6830601092896175,0.8151955611532832,252.3935420513153
5,0.0002915824995462551,0.38636324972241787,0.6798787843334219,0.9303237309265814,0.7568306010928961,0.8561845687501755,251.48140788078308
6,0.0002851453301853628,0.3886183567427017,0.9931558276134762,0.8866329009613413,0.6530054644808743,0.8161896610348345,245.5149908065796
7,0.0002770086298842426,0.31446866601050555,0.7742204354271862,0.9213095214483286,0.73224043715847,0.8433358369878613,243.22580194473267
8,0.00026727472237020447,0.3351684524626522,0.84082403013615,0.9198433001441775,0.7131147540983607,0.8516703999616688,246.54272055625916
9,0.00025606601717798207,0.2639924578450538,0.6963951617805033,0.9319679968882779,0.773224043715847,0.8565444256632615,245.68552780151367
10,0.00024352347027881003,0.22993124747178056,0.809386248471307,0.9305288179996418,0.73224043715847,0.8467576176452911,246.4469666481018
11,0.00022980481147730046,0.21962873604926433,0.7029522372806658,0.9311570794733184,0.7841530054644809,0.8498883153922843,245.71879959106445
12,0.00021508256086763368,0.18718804705601472,0.6087663232303057,0.9381908184375712,0.8005464480874317,0.8652682480559367,247.76207065582275
13,0.00019954185929327506,0.17095591541338753,0.69916645311267,0.9317130677742176,0.76775956284153,0.8499181842796096,254.22417879104614
14,0.00018337814009344714,0.1388054360523001,0.7110679041329628,0.9283241319850803,0.8333333333333334,0.9010125393951586,247.49833488464355
15,0.00016679467141549617,0.14765364695135708,0.7029846197431856,0.930234281939273,0.7841530054644809,0.8689382260472682,251.99641799926758
16,0.00015,0.1499314523087098,0.7244795546587047,0.9305405582556778,0.7950819672131147,0.8697169776779721,251.4812295436859
17,0.0001332053285845038,0.11896701363826191,0.7076017967542338,0.9369588254440286,0.8224043715846995,0.8857427047136786,255.19990468025208
18,0.00011662185990655284,0.10403368755110673,0.7126196549156976,0.9315194799722424,0.8360655737704918,0.8996875513895741,248.04698061943054
19,0.00010045814070672498,0.08889901353517077,0.6894112805444035,0.937784863499252,0.8278688524590164,0.8813722991912663,248.05955171585083
20,8.491743913236628e-05,0.09291480922723537,0.712086934250235,0.932135502611794,0.8415300546448088,0.8992554487613375,245.8539535999298
